,name,age,birthcity,birthcountry,grade,no_opinions,no_awards,no_nominations,top_number,profession,known_for_list,three_best_roles,newest_productions
0,Robin Williams I,71.0,Illinois,USA ,"8,7",46 511,16.0,37.0,27.0,aktorzy,"['Buntownik z wyboru', 'Pani Doubtfire', 'Stowarzyszenie Umarłych Poetów']","['John Keating', 'Sean Maguire', 'Daniel Hillard / Pani Euphegenia Doubtfire']","['Choleryk z Brooklynu', 'Wesołe kurcze święta', 'Noc w muzeum: Tajemnica grobowca']"
1,Jude Law ,50.0,Anglia,Wielka Brytania ,"8,4",67 553,2.0,28.0,118.0,aktorzy,"['Utalentowany pan Ripley', 'Młody papież', 'A.I. Sztuczna inteligencja']","['Milo Tindle', 'Dom Hemingway', 'Dickie Greenleaf']","['Sherlock Holmes 3', ""Fantastyczne zwierzęta: Tajemnice Dumbledore'a"", 'Lee']"
2,Al Pacino I,82.0,Nowy Jork,USA ,"8,9",112 758,31.0,53.0,4.0,aktorzy,"['Ojciec chrzestny', 'Ojciec chrzestny II', 'Zapach kobiety']","['Podpułkownik Frank Slade', 'John Milton', 'Sonny Wortzik']","['King Lear', 'Dom Gucci', 'W pułapce zdrady']"
3,Helena Bonham Carter ,56.0,Anglia,Wielka Brytania ,"8,7",91 447,9.0,45.0,2.0,aktorki,"['Jak zostać królem', 'The Crown', 'Nędznicy']","['Jane Hatchard', 'Pani Lovett', 'Marla Singer']","['Enola Holmes 2', 'Ten Percent', 'The Cleaner']"
4,Sylvester Stallone ,76.0,Nowy Jork,USA ,"8,2",59 923,17.0,38.0,68.0,scenariusza,"['Rocky', 'Creed: Narodziny legendy', 'Rocky 4']",['Frank Leone'],"['Samaritan', 'Scarpa', 'Tough as They Come']"
5,Joaquin Phoenix ,48.0, San Juan,Portoryko ,"9,2",85 739,14.0,48.0,1.0,aktorzy,"['Gladiator', 'Joker', 'Mistrz']","['Freddie Quell', 'Johnny', 'Kommodus']","['Kitbag', 'Disappointment Blvd.', ""C'mon C'mon""]"
6,Matt Damon ,52.0,Massachusetts,USA ,"8,1",76 801,9.0,65.0,56.0,scenarzyści,"['Marsjanin', 'Szeregowiec Ryan', 'Infiltracja']","['Will Hunting', 'Tom Ripley', 'Carroll Shelby']","['Oppenheimer', 'Thor: Miłość i grom', 'Ostatni pojedynek']"
7,Jared Leto ,51.0,Luizjana,USA ,"8,1",59 049,15.0,15.0,274.0,aktorzy,"['Cienka czerwona linia', 'Dom Gucci', 'Legion samobójców']","['Rayon', 'Harry Goldfarb', 'Dorosły Nemo Nobody / Nemo Nobody w wieku 118 lat']","['Morbius', 'Adrift', 'WeCrashed: Upadek start-upu']"
8,Charlize Theron ,47.0, Benoni,RPA ,"8,3",59 258,16.0,65.0,25.0,aktorki,"['Monster', 'Mad Max: Na drodze gniewu', 'Królewna Śnieżka i Łowca']","['Aileen Wuornos', 'Megyn Kelly', 'Marlo']","['Hancock 2', 'Atomic Blonde 2', 'The School for Good and Evil']"
9,Nicole Kidman ,55.0,Hawaje,USA ,"8,2",61 214,28.0,89.0,51.0,aktorki,"['Godziny', 'Moulin Rouge!', 'Wielkie kłamstewka']","['Virginia Woolf', 'Erin Bell', 'Celeste Wright']","['Aquaman and the Lost Kingdom', 'Wiking', 'Ryk']"
10,Jim Carrey ,60.0, Newmarket,Kanada ,"8,5",56 232,23.0,50.0,76.0,aktorzy,"['Truman Show', 'Bruce Wszechmogący', 'Głupi i głupszy']","['Andy Kaufman', 'Jeff / Pan Pickles', 'Hrabia Olaf']","['Sonic 2: Szybki jak błyskawica', 'Kidding', 'Sonic. Szybki jak błyskawica']"
11,Denzel Washington ,68.0,Nowy Jork,USA ,"8,6",63 353,24.0,75.0,58.0,aktorzy,"['Dzień próby', 'Lot', 'Płoty']","['Alonzo', 'John W. Creasy', 'Frank Lucas']","['The Equalizer 3', 'Tragedia Makbeta', 'Małe rzeczy']"
12,Liam Neeson ,70.0,Irlandia Północna,Wielka Brytania ,"8,2",67 630,4.0,19.0,216.0,aktorzy,"['Lista Schindlera', 'Kinsey', 'Michael Collins']","['Oskar Schindler', 'Michael Collins', 'Jean Valjean']","['Demaskator', 'Memory', 'Marlowe']"
13,Ryan Reynolds I,46.0, Vancouver,Kanada ,"8,4",71 708,8.0,33.0,108.0,aktorzy,"['Deadpool', 'Amityville', 'Zielona Latarnia']","['Guy', 'Michael Bryce', 'Andrew Paxton']","['Deadpool 3', 'Projekt Adam', 'Czerwona nota']"
14,Cate Blanchett ,53.0, Melbourne,Australia ,"8,5",79 104,45.0,74.0,13.0,aktorki,"['Blue Jasmine', 'Władca Pierścieni: Drużyna Pierścienia', 'Aviator']","['Bob Dylan / Jude', 'Jasmine', 'Elżbieta I']","['Disclaimer', 'Brideshead Revisited', 'Zaułek koszmarów']"
15,Scarlett Johansson ,38.0,Nowy Jork,USA ,"8,2",98 419,15.0,90.0,52.0,aktorki,"['Między słowami', 'Avengers: Wojna bez granic', 'Historia małżeńska']","['Nicole Barber', 'Rosie', 'Charlotte']","['Asteroid City', 'Czarna Wdowa', 'Avengers: Koniec gry']"
16,Amy Adams III,48.0, Vicenza,Włochy ,"8,2",66 476,17.0,82.0,61.0,aktorki,"['American Hustle', 'Nowy początek', 'Mistrz']","['Bev', 'Camille Preaker', 'Sydney Prosser']","['Disenchanted', 'Kobieta w oknie', 'Nightbitch']"
17,J.K. Simmons ,67.0,Michigan,USA ,"8,3",50 192,16.0,17.0,105.0,aktorzy,"['Whiplash', 'Palm Springs', 'Being the Ricardos']","['Terence Fletcher', 'Howard Silk', 'Vernon Schillinger']","['Batgirl', 'Night Sky', 'Liga Sprawiedliwości Zacka Snydera']"
18,Ian McKellen ,83.0,Anglia,Wielka Brytania ,"8,8",61 666,15.0,31.0,16.0,aktorzy,"['Władca Pierścieni: Drużyna Pierścienia', 'Władca Pierścieni: Powrót króla', 'Uczeń szatana']",['Sherlock Holmes'],"['The Curse of The Buxom Strumpet', 'Infinitum: Subject Unknown', 'Koty']"
19,Janusz Gajos ,83.0, Dąbrowa Górnicza,Polska ,"8,6",56 384,19.0,15.0,46.0,aktorzy,"['Kler', 'Body/Ciało', 'Przesłuchanie']","['Bohater', 'Cenzor Rabkiewicz', 'Major Zawada ""Kąpielowy""']","['Fuks 2', 'Bez skrupułów', 'Król']"
20,Jennifer Lawrence III,32.0,Kentucky,USA ,"8,2",87 777,47.0,63.0,49.0,aktorki,"['American Hustle', 'Igrzyska śmierci II: W pierścieniu ognia', 'Igrzyska śmierci: Kosogłos. Część 1']","['Matka', 'Tiffany Maxwell', 'Rosalyn Rosenfeld']","['No Hard Feelings', 'Bad Blood', 'Mob Girl']"
21,Meryl Streep ,73.0,New Jersey,USA ,"8,2",108 031,56.0,121.0,63.0,aktorki,"['Diabeł ubiera się u Prady', 'Julie i Julia', 'Żelazna Dama']","['Miranda Priestly', 'Violet Weston', 'Margaret Thatcher']","['Extrapolations', 'Nie patrz w górę', 'Bal']"
22,Robert Więckiewicz ,55.0, Nowa Ruda,Polska ,"8,2",63 025,11.0,15.0,190.0,aktorzy,"['W ciemności', 'Pod Mocnym Aniołem', 'Wszystko będzie dobrze']","['Jerzy', 'Nauczyciel Andrzej', 'Jacek']","['Behawiorysta', 'Minuta ciszy', 'Najmro. Kocha, kradnie, szanuje']"
