name,age,birthcity,birthcountry,top_number,profession,grade,no_opinions,no_awards,no_nominations,known_for,best_roles,newest_productions
Leonardo DiCaprio ,48,Kalifornia,USA ,3,aktorzy,"9,0",228 241,34,90,"Titanic 3D,Infiltracja,Co gryzie Gilberta Grape'a","Jim Carroll,Jordan Belfort,Arnie Grape","Roosevelt,Killers of the Flower Moon,Jim Jones"
Johnny Depp ,59,Kentucky,USA ,18,aktorzy,"8,8",214 988,24,73,"Piraci z Karaibów: Skrzynia umarlaka,Piraci z Karaibów: Na krańcu świata,Sweeney Todd: Demoniczny golibroda z Fleet Street","Sweeney Todd,Sam,Raoul Duke","In the Hand of Dante,Minamata,Czekając na barbarzyńców"
Al Pacino ,82,Nowy Jork,USA ,4,aktorzy,"8,9",112 835,31,53,"Ojciec chrzestny,Ojciec chrzestny II,Zapach kobiety","John Milton,Sonny Wortzik,Podpułkownik Frank Slade","King Lear,Dom Gucci,W pułapce zdrady"
Brad Pitt ,59,Oklahoma,USA ,29,aktorzy,"8,7",162 735,36,70,"Wywiad z wampirem,Pan i pani Smith,Zniewolony. 12 Years a Slave","Mickey O'Neil,Jeffrey Goines,Tyler Durden","Bullet Train,Zaginione miasto,Babylon"
Tom Hanks ,66,Kalifornia,USA ,318,scenarzyści,"8,9",136 043,27,71,"Filadelfia,Forrest Gump,Apollo 13","Andrew Beckett,Kapitan John H. Miller,Kapitan Richard Phillips","Elvis,Pinocchio,Asteroid City"
Tom Hardy ,45,Anglia,Wielka Brytania ,21,aktorzy,"8,8",113 816,4,23,"Mad Max: Na drodze gniewu,Legend,Locke","James Keziah Delaney,Alfie Solomons,Stuart Shorter","Mad Max: The Wasteland,Havoc,Venom 2: Carnage"
Robert De Niro ,79,Nowy Jork,USA ,36,aktorzy,"8,7",150 866,22,56,"Taksówkarz,Wściekły Byk,Chłopcy z ferajny","Leonard Lowe,Travis Bickle,Jake La Motta","Killers of the Flower Moon,Untitled David O. Russell Project,Armageddon Time"
Samuel L. Jackson ,74,Dystrykt Kolumbii,USA ,114,aktorzy,"8,4",143 398,7,31,"Pulp Fiction,Django,Nienawistna ósemka","Trener Ken Carter,Darius Kincaid,Major Marquis Warren","The Marvels,Argylle,The Blob"
Robert Downey Jr. ,57,Nowy Jork,USA ,10,aktorzy,"8,9",131 025,28,63,"Iron Man III,Sherlock Holmes,Iron Man",Charles Spencer Chaplin,"Oppenheimer,Sherlock Holmes 3,The Sympathizer"
Jake Gyllenhaal ,42,Kalifornia,USA ,25,aktorzy,"8,7",109 348,4,44,"Tajemnica Brokeback Mountain,Wolny strzelec,Labirynt","Louis Bloom,Billy Hope,Detektyw David Loki","The Interpreter,The Division,Rio"
Ryan Gosling ,42, London,Kanada ,176,aktorzy,"8,2",72 118,11,54,"Drive,La La Land,Nice Guys. Równi goście","Kierowca,Lars Lindstrom,Noah","Barbie,Szary człowiek,Pierwszy człowiek"
Willem Dafoe ,67,Wisconsin,USA ,167,aktorzy,"8,2",65 155,19,37,"Projekt Floryda,Lighthouse,Cień wampira","Sierżant Elias Grodin,Paul Smecker,Thomas Wake","Wiking,Poor Things,Kurier Francuski z Liberty, Kansas Evening Sun"
Emma Stone ,34,Arizona,USA ,36,aktorki,"8,3",70 817,17,60,"La La Land,Służące,Birdman czyli (Nieoczekiwane pożytki z niewiedzy)","Olive Penderghast,Abigail,Annie Landsberg","Poor Things,Cruella,The Curse"
Jason Statham ,55,Anglia,Wielka Brytania ,122,aktorzy,"8,4",70 599,,,"Agentka,Szybcy i wściekli 7,Szybcy i wściekli 8","Frank Martin,Rick Ford","The Expendables 4,Gra fortuny,Jeden gniewny człowiek"
Meryl Streep ,73,New Jersey,USA ,63,aktorki,"8,2",108 084,56,121,"Diabeł ubiera się u Prady,Julie i Julia,Żelazna Dama","Zofia Zawistowska,Violet Weston,Miranda Priestly","Extrapolations,Nie patrz w górę,Bal"
Colin Firth ,62,Anglia,Wielka Brytania ,69,aktorzy,"8,5",62 583,20,17,"Jak zostać królem,Samotny mężczyzna,Dziennik Bridget Jones","Profesor George Falconer,Harry Hart / Galahad,Fitzwilliam Darcy","Schody,Mothering Sunday,Operation Mincemeat"
Keanu Reeves ,58, Bejrut,Liban ,214,aktorzy,"8,2",71 587,5,24,"Matrix,Speed: Niebezpieczna szybkość,Dom nad jeziorem","Kevin Lomax,John Wick,Keanu Reeves","Rain,John Wick: Chapter 4,BRZRKR"
Tom Cruise ,60,Nowy Jork,USA ,254,aktorzy,"8,1",68 946,12,52,"Wywiad z wampirem,Jerry Maguire,Magnolia","Ron Kovic,Kapitan Nathan Algren,Lestat de Lioncourt","Mission: Impossible - Dead Reckoning Part Two,Mission: Impossible 7 - Dead Reckoning Part 1,Top Gun: Maverick"
Jude Law ,50,Anglia,Wielka Brytania ,118,aktorzy,"8,4",67 607,2,28,"Utalentowany pan Ripley,Młody papież,A.I. Sztuczna inteligencja","Dickie Greenleaf,Dom Hemingway,Milo Tindle","Sherlock Holmes 3,Fantastyczne zwierzęta: Tajemnice Dumbledore'a,Lee"
Chris Hemsworth ,39, Melbourne,Australia ,124,aktorzy,"8,4",68 172,8,37,"Avengers 3D,Avengers: Czas Ultrona,Avengers: Wojna bez granic","James Hunt,Tyler Rake","Furiosa,Thor: Miłość i grom,Extraction 2"
Sylvester Stallone ,76,Nowy Jork,USA ,68,scenariusza,"8,2",59 978,17,38,"Rocky,Creed: Narodziny legendy,Rocky 4",Frank Leone,"Samaritan,Scarpa,Tough as They Come"
Amy Adams ,48, Vicenza,Włochy ,61,aktorki,"8,2",66 507,17,82,"American Hustle,Nowy początek,Mistrz","Camille Preaker,Bev,Sydney Prosser","Disenchanted,Kobieta w oknie,Nightbitch"
Mark Ruffalo ,55,Wisconsin,USA ,240,aktorzy,"8,1",66 463,10,51,"Spotlight,Avengers 3D,Foxcatcher","Dominick Birdsey / Thomas Birdsey,Cameron Stuart,Ned Weeks","She-Hulk,Poor Things,Newsflash"
Angelina Jolie ,47,Kalifornia,USA ,10,aktorki,"8,5",64 156,17,51,"Pan i pani Smith,Przerwana lekcja muzyki,Oszukana","Lisa Rowe,Christine Collins,Gia Carangi","Eternals,Ci, którzy życzą mi śmierci,Piotruś Pan i Alicja w Krainie Czarów"
Kate Winslet ,47,Anglia,Wielka Brytania ,6,aktorki,"8,6",64 794,27,65,"Lektor,Titanic 3D,Mare z Easttown","Detektyw Mare Sheehan,Hanna Schmitz,Myrtle ""Tilly"" Dunnage","Avatar 2,Lee,Mare z Easttown"
Robert Więckiewicz ,55, Nowa Ruda,Polska ,190,aktorzy,"8,2",63 142,11,15,"W ciemności,Pod Mocnym Aniołem,Wszystko będzie dobrze","Jacek,Nauczyciel Andrzej,Jerzy","Behawiorysta,Minuta ciszy,Najmro. Kocha, kradnie, szanuje"
Marcin Dorociński ,49, Milanówek,Polska ,144,aktorzy,"8,3",62 619,5,16,"Róża,PitBull,Rewers","Podkomisarz Sławomir Desperski ""Despero"",Andrzej,Tadeusz","Niebezpieczni dżentelmeni,Czarny młyn,Teściowie"
James McAvoy ,43,Szkocja,Wielka Brytania ,32,aktorzy,"8,7",63 796,2,14,"Brud,Pokuta,Split","Bruce Robertson,Dennis / Patricia / Hedwig / Bestia / Kevin Wendell Crumb / Barry / Orwell / Jade,Patricia / Dennis / Hedwig / Bestia / Barry / Heinrich / Jade / Ian / Mary Reynolds / Norma / Jalin / Kat / B.T. / Kevin Wendell Crumb / Pan Pritchard / Felida / Luke / Goddard / Samuel / Polly","Bańka,Together,Mój syn"
Denzel Washington ,68,Nowy Jork,USA ,57,aktorzy,"8,6",63 401,24,75,"Dzień próby,Lot,Płoty","Frank Lucas,Alonzo,John W. Creasy","The Equalizer 3,Tragedia Makbeta,Małe rzeczy"
Emma Watson ,32, Paryż,Francja ,32,aktorki,"8,3",63 004,9,26,"Harry Potter i Insygnia Śmierci, cz.2,Harry Potter i Insygnia Śmierci: Część I,Piękna i Bestia","Pauline Fossil,Sam","Małe kobietki,Piękna i Bestia,The Circle. Krąg"
Tom Hiddleston ,41,Anglia,Wielka Brytania ,50,aktorzy,"8,5",62 699,6,13,"Avengers 3D,Loki,Nocny recepcjonista","Thomas Sharpe,Adam,Jonathan Pine","The Essex Serpent,Loki,Avengers: Koniec gry"
Christian Bale ,48,Walia,Wielka Brytania ,23,aktorzy,"8,8",106 961,22,47,"Fighter,Mroczny Rycerz,Batman - Początek","Trevor Reznik,Dicky Eklund,Dick Cheney","Thor: Miłość i grom,The Pale Blue Eye,Untitled David O. Russell Project"
Morgan Freeman ,85,Tennessee,USA ,91,aktorzy,"8,5",104 540,14,25,"Za wszelką cenę,Wożąc panią Daisy,Invictus - Niepokonany","Carter Chambers,Somerset,Eddie Scrap-Iron Dupris","The Minute You Wake Up Dead,Bodyguard i żona zawodowca,Solówki"
Anthony Hopkins ,85,Walia,Wielka Brytania ,7,aktorzy,"8,9",102 669,23,50,"Milczenie owiec,Ojciec,Okruchy dnia","Burt Munro,James Stevens,Anthony","Arabian Nights,Hemingway & Fuentes,Wirtuoz. Pojedynek zabójców"
Scarlett Johansson ,38,Nowy Jork,USA ,52,aktorki,"8,2",98 479,15,90,"Między słowami,Avengers: Wojna bez granic,Historia małżeńska","Charlotte,Nicole Barber,Rosie","Asteroid City,Czarna Wdowa,Avengers: Koniec gry"
Benedict Cumberbatch ,46,Anglia,Wielka Brytania ,20,aktorzy,"8,8",95 895,11,49,"Sherlock,Hobbit 2: Pustkowie Smauga,Psie pazury","Nekromanta,Patrick Melrose,Alan Turing","Doktor Strange w multiwersum obłędu,Rio,The 39 Steps"
Helena Bonham Carter ,56,Anglia,Wielka Brytania ,2,aktorki,"8,7",91 533,9,45,"Jak zostać królem,The Crown,Nędznicy","Jane Hatchard,Pani Lovett,Marla Singer","Enola Holmes 2,Ten Percent,The Cleaner"
Gary Oldman ,64,Anglia,Wielka Brytania ,42,aktorzy,"8,6",91 652,12,34,"Czas mroku,Dracula,Szpieg","Sid Vicious,Norman Stansfield,Winston Churchill","Flying Horse,Oppenheimer,Kulawe konie"
Liam Neeson ,70,Irlandia Północna,Wielka Brytania ,216,aktorzy,"8,2",67 695,4,19,"Lista Schindlera,Kinsey,Michael Collins","Jean Valjean,Oskar Schindler,Michael Collins","Demaskator,Memory,Marlowe"
Bradley Cooper ,47,Pensylwania,USA ,132,aktorzy,"8,3",79 233,13,75,"Poradnik pozytywnego myślenia,Narodziny gwiazdy,Snajper","Jack,Eddie Morra,Christopher Scott ""Chris"" Kyle","Atlantic Wall,Maestro,Zaułek koszmarów"
Jennifer Lawrence ,32,Kentucky,USA ,49,aktorki,"8,2",87 797,47,63,"American Hustle,Igrzyska śmierci II: W pierścieniu ognia,Igrzyska śmierci: Kosogłos. Część 1","Rosalyn Rosenfeld,Matka,Tiffany Maxwell","No Hard Feelings,Bad Blood,Mob Girl"
Ian McKellen ,83,Anglia,Wielka Brytania ,16,aktorzy,"8,8",61 711,15,31,"Władca Pierścieni: Drużyna Pierścienia,Władca Pierścieni: Powrót króla,Uczeń szatana",Sherlock Holmes,"The Curse of The Buxom Strumpet,Infinitum: Subject Unknown,Koty"
Russell Crowe ,58, Wellington,Nowa Zelandia ,56,aktorzy,"8,6",62 043,16,49,"Informator,Nędznicy,Nice Guys. Równi goście","Maximus,Jim Braddock,John Forbes Nash Jr.","Kraven the Hunter,Land of Bad,Rothko"
Michael Fassbender ,45,RFN ,(obecnie Niemcy) ,204,aktorzy,"8,1",61 859,17,44,"Wstyd,Bękarty wojny,Zniewolony. 12 Years a Slave","Bobby Sands,Edwin Epps,Brandon Sullivan","Kung Fury II: The Movie,Next Goal Wins,The Killer"
Nicole Kidman ,55,Hawaje,USA ,51,aktorki,"8,2",61 333,28,89,"Godziny,Moulin Rouge!,Wielkie kłamstewka","Erin Bell,Virginia Woolf,Celeste Wright","Aquaman and the Lost Kingdom,Wiking,Ryk"
Quentin Tarantino ,59,Tennessee,USA ,2,scenarzyści,"8,9",37 512,42,82,"Pewnego razu... w Hollywood,Nienawistna ósemka,Wściekłe psy","""The Man from Hollywood""","Pewnego razu... w Hollywood,Nienawistna ósemka,Django"
Ewan McGregor ,51,Szkocja,Wielka Brytania ,154,aktorzy,"8,3",60 142,10,31,"Moulin Rouge!,Fargo,Autor widmo","Christian,Renton,Curt Wild","Everest,Obi-Wan Kenobi,Halston"
Keira Knightley ,37,Anglia,Wielka Brytania ,91,aktorki,"8,0",60 818,9,38,"Piraci z Karaibów: Skrzynia umarlaka,Piraci z Karaibów: Na krańcu świata,Pokuta","Georgiana, Księżna Devonshire,Colette,Elizabeth Bennet","Silent Night,Niepokorna miss,W domu innego"
Christoph Waltz ,66, Wiedeń,Austria ,19,aktorzy,"8,8",60 415,19,9,"Django,Bękarty wojny,Rzeź","August Rosenbluth,Alan Cowan,Dr King Schultz","Reagan & Gorbachev,The Portable Door,Kurier Francuski z Liberty, Kansas Evening Sun"
Charlize Theron ,47, Benoni,RPA ,25,aktorki,"8,3",59 340,16,65,"Monster,Mad Max: Na drodze gniewu,Królewna Śnieżka i Łowca","Aileen Wuornos,Megyn Kelly,Marlo","Hancock 2,Atomic Blonde 2,The School for Good and Evil"
