,name,birthday,birth_location,grade,no_opinions,awards_str,known_for,best_roles,newest_productions,ranking,awards,nominations,Country_of_birth,City_of_birth,won_oscar
0,Leonardo DiCaprio,11 listopada 1974,"Los Angeles, Kalifornia, USA",9.0,228106,"Zdobył Oscar, 33 inne nagrody i 90 nominacji","Titanic 3D, Infiltracja, Co gryzie Gilberta Grape'a, Wyspa tajemnic, Django, Aviator, Złap mnie, jeśli potrafisz, Wielki Gatsby, ","Arnie Grape, Jordan Belfort, Jim Carroll, Teddy Daniels, Calvin Candie, Frank Abagnale Jr, Billy Costigan, Hugh Glass, Cobb, ","Roosevelt, Killers of the Flower Moon, Jim Jones, Nie patrz w górę, Pewnego razu... w Hollywood, Zjawa, Wilk z Wall Street, Wielki Gatsby, Django, J. Edgar, Wyspa tajemnic, Incepcja, Droga do szczęścia, W sieci kłamstw, Infiltracja, Krwawy diament, Aviator, Gangi Nowego Jorku, Złap mnie, jeśli potrafisz, Don's Plum, Niebiańska plaża, Człowiek w żelaznej masce, Celebrity, Titanic, Pokój Marvina, ",3,34,90, USA,Los Angeles,1
1,Johnny Depp,9 czerwca 1963,"Owensboro, Kentucky, USA",8.8,214508,"Zdobył Złoty Glob, 23 inne nagrody i 73 nominacje","Piraci z Karaibów: Skrzynia umarlaka, Piraci z Karaibów: Na krańcu świata, Sweeney Todd: Demoniczny golibroda z Fleet Street, Alicja w Krainie Czarów, Charlie i fabryka czekolady, Turysta, Mroczne cienie, Jeździec znikąd, ","Raoul Duke, Sweeney Todd, Sam, James Barrie, ","In the Hand of Dante, Minamata, Czekając na barbarzyńców, Pola Londynu, Fantastyczne zwierzęta: Zbrodnie Grindelwalda, Miasto kłamstw, Richard mówi do widzenia, Piraci z Karaibów: Zemsta Salazara, Morderstwo w Orient Expressie, The Black Ghiandola, Alicja po drugiej stronie lustra, Wojowniczki Jogi, Fantastyczne zwierzęta i jak je znaleźć, Donald Trump's The Art of the Deal: The Movie, Bezwstydny Mortdecai, Pakt z diabłem, Transcendencja, Tajemnice lasu, Kieł, Jeździec znikąd, Szczęściarze, Mroczne cienie, 21 Jump Street, Dziennik zakrapiany rumem, Piraci z Karaibów: Na nieznanych wodach, ",18,24,73, USA,Owensboro,0
2,Brad Pitt,18 grudnia 1963,"Shawnee, Oklahoma, USA",8.7,162566,"Zdobył 2 nagrody Oscar, 34 inne nagrody i 70 nominacji","Wywiad z wampirem, Pan i pani Smith, Zniewolony. 12 Years a Slave, Siedem, Bękarty wojny, 12 małp, Troja, Moneyball, ","Tyler Durden, Jeffrey Goines, Mickey O'Neil, Early Grayce, Mills, Billy Canton, Tristan Ludlow, ","Bullet Train, Zaginione miasto, Babylon, Fast Times at Ridgemont High Table Read, Ad Astra, Pewnego razu... w Hollywood, Deadpool 2, Machina wojenna, Sprzymierzeni, Nad morzem, Big Short, Furia, World War Z, Zniewolony. 12 Years a Slave, Adwokat, Zabić, jak to łatwo powiedzieć, 8, Drzewo życia, Moneyball, Bękarty wojny, Ciekawy przypadek Benjamina Buttona, Tajne przez poufne, Zabójstwo Jesse'ego Jamesa przez tchórzliwego Roberta Forda, Ocean's 13, Babel, ",29,36,70, USA,Shawnee,1
3,Robert De Niro,17 sierpnia 1943,"Nowy Jork, Nowy Jork, USA",8.7,150708,"Zdobył 2 nagrody Oscar, 20 innych nagród i 56 nominacji","Taksówkarz, Wściekły Byk, Chłopcy z ferajny, Poradnik pozytywnego myślenia, Ojciec chrzestny II, Przebudzenie, Irlandczyk, Ulice zła, ","Leonard Lowe, Travis Bickle, Jake La Motta, Młody Vito Corleone, Michael ""Mike"" Vronsky, Sam ""Ace"" Rothstein, Neil McCauley, David ""Noodles"" Aaronson, James ""Jimmy"" Conway, Max Cady, ","Killers of the Flower Moon, Untitled David O. Russell Project, Armageddon Time, Wojna z dziadkiem, After Exile, Cwaniaki z Hollywood, Irlandczyk, Joker, Arcyoszust, The Comedian, Kamienne pięści, Co ty wiesz o swoim dziadku?, Praktykant, Człowiek mafii, Joy, Ellis, Feralna noc, Wielkie wesele, Sezon na zabijanie, Last Vegas, Porachunki, Legendy ringu, American Hustle, Czerwone światła, Być jak Flynn, ",36,22,56, USA,Nowy Jork,1
4,Samuel L. Jackson,21 grudnia 1948,"Waszyngton, Dystrykt Kolumbii, USA",8.4,143246,"Zdobył BAFTA, 6 innych nagród i 31 nominacji","Pulp Fiction, Django, Nienawistna ósemka, Jackie Brown, Malaria, Kingsman: Tajne służby, Kapitan Ameryka: Zimowy Żołnierz, Trener, ","Major Marquis Warren, Trener Ken Carter, Darius Kincaid, Czarny, Ordell Robbie, Danny Roman, Henry Herald ""H"" Humphries, ","The Marvels, Argylle, The Blob, Secret Invasion, Ostatnie dni Ptolemeusza Greya, Bodyguard i żona zawodowca, Spirala: Nowy rozdział serii ""Piła"", Protegowana, The Last Full Measure, Spinning Gold, Bankier, Giń, 2020!, Kapitan Marvel, Glass, Spider-Man: Daleko od domu, Shaft, Avengers: Koniec gry, To właśnie życie, Avengers: Wojna bez granic, xXx: Reaktywacja, Kong: Wyspa Czaszki, Bodyguard Zawodowiec, Sklep z jednorożcami, Komórka, Tarzan: Legenda, ",114,7,31, USA,Waszyngton,0
5,Tom Hanks,9 lipca 1956,"Concord, Kalifornia, USA",8.9,135886,"Zdobył 2 nagrody Oscar, 25 innych nagród i 71 nominacji","Filadelfia, Forrest Gump, Apollo 13, Kapitan Phillips, Kompania braci, Sully, Czwarta władza, Duży, ","Andrew Beckett, Kapitan John H. Miller, Kapitan Richard Phillips, Viktor Navorski, Chesley ""Sully"" Sullenberger, Carl Hanratty, Fred Rogers, ","Elvis, Pinocchio, Asteroid City, Finch, Misja Greyhound, Nowiny ze świata, Kolejny film o Boracie, Cóż za piękny dzień, The Circle. Krąg, Czwarta władza, Hologram dla króla, Inferno, Sully, Most szpiegów, Ithaca, Kapitan Phillips, Ratując pana Banksa, Atlas chmur, Larry Crowne - uśmiech losu, Strasznie głośno, niesamowicie blisko, Anioły i demony, Wspaniały Buck Howard, Wojna Charliego Wilsona, Kod da Vinci, Ekspres polarny, ",8,27,71, USA,Concord,1
6,Robert Downey Jr.,4 kwietnia 1965,"Nowy Jork, Nowy Jork, USA",8.9,130857,"Zdobył 2 nagrody Złoty Glob, 26 innych nagród i 63 nominacje","Iron Man III, Sherlock Holmes, Iron Man, Avengers 3D, Avengers: Koniec gry, Avengers: Wojna bez granic, Sędzia, Kapitan Ameryka: Wojna bohaterów, ","Charles Spencer Chaplin, ","Oppenheimer, Sherlock Holmes 3, The Sympathizer, Doktor Dolittle, All-Star Weekend, Avengers: Koniec gry, Avengers: Wojna bez granic, Spider-Man: Homecoming, Kapitan Ameryka: Wojna bohaterów, Avengers: Czas Ultrona, Sędzia, Szef, Iron Man 3, Avengers, Sherlock Holmes: Gra cieni, Iron Man 2, Zanim odejdą wody, Miłość i brak zaufania, Solista, Sherlock Holmes, Iron Man, Jaja w tropikach, Incredible Hulk, Tropic Thunder: Rain of Madness, Zodiak, ",10,28,63, USA,Nowy Jork,0
7,Tom Hardy,15 września 1977,"Londyn, Anglia, Wielka Brytania",8.8,113734,"Zdobył BAFTA, 3 inne nagrody i 23 nominacje","Mad Max: Na drodze gniewu, Legend, Locke, Bronson, Incepcja, Mroczny Rycerz powstaje, Zjawa, Wojownik, ","Stuart Shorter, Alfie Solomons, James Keziah Delaney, Ronald Kray / Reggie Kray, Tommy Conlon, Freddie, Ivan Locke, John Fitzgerald, ","Mad Max: The Wasteland, Havoc, Venom 2: Carnage, Spider-Man: Bez drogi do domu, Capone, Peaky Blinders, Venom, Tabu, Dunkierka, Mad Max: Na drodze gniewu, System, London Road, Legend, Zjawa, Brudny szmal, Locke, A więc wojna, Gangster, Mroczny Rycerz powstaje, Wojownik, Szpieg, Incepcja, Sergeant Slaughter, My Big Brother, Wichrowe wzgórza, Złodziejski kodeks, ",21,4,23, Wielka Brytania,Londyn,0
8,Al Pacino,25 kwietnia 1940,"Nowy Jork, Nowy Jork, USA",8.9,112710,"Zdobył Oscar, 30 innych nagród i 53 nominacje","Ojciec chrzestny, Ojciec chrzestny II, Zapach kobiety, Człowiek z blizną, Pieskie popołudnie, Donnie Brasco, Serpico, Irlandczyk, ","Podpułkownik Frank Slade, John Milton, Sonny Wortzik, Porucznik Vincent Hanna, Carlito Brigante, Frank Serpico, ","King Lear, Dom Gucci, W pułapce zdrady, Hunters, Irlandczyk, Pewnego razu... w Hollywood, Paterno, Piraci z Somalii, M jak morderca, Pozory prawdy, Idol, Upokorzenie, Manglehorn, Phil Spector, Salomé, We're No Animals, Twardziele, Sprawa zamknięta, Jack i Jill, Jack, jakiego nie znacie, Zawodowcy, 88 minut, Ocean's 13, Podwójna gra, Kupiec wenecki, ",4,31,53, USA,Nowy Jork,1
9,Jake Gyllenhaal,19 grudnia 1980,"Los Angeles, Kalifornia, USA",8.7,109234,"Zdobył BAFTA, 3 inne nagrody i 44 nominacje","Tajemnica Brokeback Mountain, Wolny strzelec, Labirynt, Miłość i inne używki, Donnie Darko, Zodiak, Pojutrze, Książę Persji: Piaski czasu, ","Louis Bloom, Billy Hope, Detektyw David Loki, Jack Twist, Davis, Brian Taylor, Jeff Bauman, Tony Hastings / Edward Sheffield, Tommy Cahill, ","The Interpreter, The Division, Rio, Ambulans, Winni, Velvet Buzzsaw, Spider-Man: Daleko od domu, Kraina wielkiego nieba, Bracia Sisters, Okja, Niezwyciężony, Life, Great Performers: Horror Show, Zwierzęta nocy, Miłość przez przypadek, Everest, Do utraty sił, Destrukcja, Wolny strzelec, Wróg, Labirynt, Bogowie ulicy, Kod nieśmiertelności, Książę Persji: Piaski czasu, Miłość i inne używki, ",25,4,44, USA,Los Angeles,0
